language,size_bucket,repository,commit,path,bytes_before,bytes_after,file_size,lines_added,lines_removed,loc_changed
Rust,large,rustdesk-rustdesk.git,abb7748ee92d39998e702695fb85b4c02c6bc213,src/lang/id.rs,43381,43742,43742,7,0,7
Rust,large,rustdesk-rustdesk.git,b39e851262cea9dd869dcaae55a1f6730728f086,src/lang/ro.rs,37369,37367,37369,1,1,2
Rust,large,rustdesk-rustdesk.git,b99c540210a98df39b96ec65f2ec40fd703c7506,src/lang/hu.rs,45451,45477,45477,1,0,1
Rust,large,rustdesk-rustdesk.git,c457b0e7d3a8ca8ad7a0541c180f791890481b4e,src/tray.rs,9570,10206,10206,28,11,39
Rust,large,rustdesk-rustdesk.git,c626c2414d7a51b7e628555996d48983fa8d6607,src/lang/eo.rs,31893,32119,32119,7,1,8
Rust,large,rustdesk-rustdesk.git,c626c2414d7a51b7e628555996d48983fa8d6607,src/lang/th.rs,61831,62057,62057,7,1,8
Rust,large,rustdesk-rustdesk.git,c8d5ee6565340d32f02ce019a154ba6572acc2de,src/lang/fr.rs,52046,52128,52128,8,8,16
Rust,large,rustdesk-rustdesk.git,ca7b4872d9f1a59369fd0529b4c52e1ed0556377,src/lang/be.rs,56858,56930,56930,2,0,2
Rust,large,rustdesk-rustdesk.git,cefda0dec1c17278856cbc2f5936859b5cdb6c5d,src/lang/lv.rs,43466,43502,43502,1,0,1
Rust,large,rustdesk-rustdesk.git,cefda0dec1c17278856cbc2f5936859b5cdb6c5d,src/lang/sk.rs,43112,43148,43148,1,0,1
Rust,large,rustdesk-rustdesk.git,d00b8bb5805f7f81591f22f3446dbe8c89e55a8f,src/hbbs_http/sync.rs,11132,11130,11132,1,1,2
Rust,large,rustdesk-rustdesk.git,d0e9c6dc576a42a955cc2a9893ff5d4fb094bee2,src/lang/template.rs,24944,24976,24976,1,0,1
Rust,large,rustdesk-rustdesk.git,d110118961d2fb7c6084d3c9bef4d0198bc3137d,src/lang/sv.rs,33062,37126,37126,221,221,442
Rust,large,rustdesk-rustdesk.git,d1c8b331c59e60d4ab8eb1e285cb7163c3dba235,libs/scrap/src/common/mod.rs,14623,14659,14659,2,1,3
Rust,large,rustdesk-rustdesk.git,d1c8b331c59e60d4ab8eb1e285cb7163c3dba235,src/lang/be.rs,55541,55608,55608,2,0,2
Rust,large,rustdesk-rustdesk.git,d1c8b331c59e60d4ab8eb1e285cb7163c3dba235,src/lang/ta.rs,35310,35568,35568,7,0,7
Rust,large,rustdesk-rustdesk.git,d5c5825ffdaabf6b465a86d3c1345ba0e2341957,src/lang/uk.rs,59436,59440,59440,1,1,2
