fixture,preset,total_bytes,real_bytes,renderer_bytes,matcher_bytes,paintings,breaks_invariants
go-junegunn-fzf-real-small-change,minimal,433,2,18,16,2,0
go-lazygit-switch-to-strings,full,1443,59,41,58,2,0
go-lazygit-switch-to-strings,minimal,1443,37,28,48,2,0
go-ollama-ollama-add-go-build-comment,full,338,0,0,0,1,0
go-ollama-ollama-add-go-build-comment,minimal,338,0,0,0,1,0
go-ollama-ollama-remove-go-build-comment,full,401,0,0,0,1,0
go-ollama-ollama-remove-go-build-comment,minimal,401,0,0,0,1,0
go-prometheus-prometheus-remove-copyright-year,full,2011,1,1,0,2,0
go-prometheus-prometheus-remove-copyright-year,minimal,2011,0,0,0,2,0
html-apache-echarts-delete-one-script-tag,full,35023,0,0,0,2,0
html-apache-echarts-delete-one-script-tag,minimal,35023,0,0,0,2,0
html-axios-axios-add-script-element,full,998,0,0,0,1,0
html-axios-axios-add-script-element,minimal,998,0,0,0,1,0
html-caddyserver-caddy-add-one-element,full,101352,0,0,0,2,0
html-caddyserver-caddy-add-one-element,minimal,101352,0,0,0,2,0
html-fatedier-frp-update-hashes,full,832,0,0,0,1,0
html-fatedier-frp-update-hashes,minimal,832,0,0,0,1,0
html-fatedier-frp-update-hashes-2,full,680,0,0,0,1,0
html-fatedier-frp-update-hashes-2,minimal,680,0,0,0,1,0
html-fatedier-frp-update-hashes-3,full,690,0,0,0,1,0
html-fatedier-frp-update-hashes-3,minimal,690,0,0,0,1,0
html-fatedier-frp-update-hashes-4,full,680,0,0,0,1,0
html-fatedier-frp-update-hashes-4,minimal,680,0,0,0,1,0
html-fatedier-frp-version,full,608,0,0,0,1,0
html-fatedier-frp-version,minimal,608,0,0,0,1,0
html-gohugoio-hugo-change-template-variable-path,full,4181,0,0,0,1,0
html-gohugoio-hugo-change-template-variable-path,minimal,4181,0,0,0,1,0
html-gohugoio-hugo-template-not-pure-html,full,381,86,48,78,2,0
html-gohugoio-hugo-template-not-pure-html,minimal,381,64,0,64,2,0
html-gohugoio-hugo-template-not-pure-html-2,full,206,160,160,0,1,0
html-gohugoio-hugo-template-not-pure-html-2,minimal,206,160,160,0,1,0
html-gohugoio-hugo-update-href-template,full,1345,150,150,0,2,0
html-gohugoio-hugo-update-href-template,minimal,1345,140,140,0,2,0
html-gorhill-ublock-add-one-meta-element,full,20776,0,0,0,1,0
html-gorhill-ublock-add-one-meta-element,minimal,20776,0,0,0,1,0
html-ladybirdbrowser-ladybird-remove-meta-attribute,full,810,0,0,0,1,0
html-ladybirdbrowser-ladybird-remove-meta-attribute,minimal,810,0,0,0,1,0
html-ladybirdbrowser-ladybird-remove-one-line,full,8355,0,0,0,2,0
html-ladybirdbrowser-ladybird-remove-one-line,minimal,8355,0,0,0,2,0
html-ladybirdbrowser-ladybird-update-pixel-value,full,1154,0,0,0,1,0
html-ladybirdbrowser-ladybird-update-pixel-value,minimal,1154,0,0,0,1,0
html-ladybirdbrowser-ladybird-update-two-pixel-numbers,full,1919,30,30,0,1,0
html-ladybirdbrowser-ladybird-update-two-pixel-numbers,minimal,1919,30,30,0,1,0
html-mozilla-firefox-firefox-href-path,full,1064,0,0,0,1,0
html-mozilla-firefox-firefox-href-path,minimal,1064,0,0,0,1,0
html-mozilla-firefox-firefox-interesting-case,full,964,188,188,0,2,0
html-mozilla-firefox-firefox-interesting-case,minimal,964,188,188,0,2,0
html-mozilla-firefox-firefox-path,full,1996,0,0,0,1,0
html-mozilla-firefox-firefox-path,minimal,1996,0,0,0,1,0
html-mozilla-firefox-firefox-test-span,full,739,20,14,8,2,0
html-mozilla-firefox-firefox-test-span,minimal,739,8,0,8,2,0
html-mozilla-pdf-add-closing-tags,full,482,2,2,0,1,0
html-mozilla-pdf-add-closing-tags,minimal,482,2,2,0,1,0
html-prettier-prettier-not-pure-html-includes-yaml-as-well,full,181,75,75,0,2,0
