name,category,language,before_loc,after_loc,before_bytes,after_bytes,before_nodes,after_nodes,has_mapping,op_identical,op_update,op_match_but_not_identical,op_delete,op_delete_with_children,op_insert,op_insert_with_children,node_op_identical,node_op_update,node_op_match_but_not_identical,node_op_delete,node_op_delete_with_children,node_op_insert,node_op_insert_with_children,implicit_identical_nodes,paired_entries,depth_delta_0,depth_delta_1,depth_delta_2,depth_delta_3plus,reorder_signals,group_count,group_with_children,group_all_to_all,current_mismatches
cpp-libreoffice-add-const,small,CPP,883,883,25531,25537,6011,6013,true,5998,0,13,0,0,2,0,11996,0,26,0,0,2,0,0,6011,6011,0,0,0,0,0,0,0,0
cpp-libreoffice-add-const-2,stratified,CPP,20,20,618,624,34,36,true,27,0,7,0,0,2,0,54,0,14,0,0,2,0,0,34,34,0,0,0,0,0,0,0,0
cpp-libreoffice-add-imports-and-function-param,stratified,CPP,40,44,1564,1722,126,149,true,120,0,6,0,0,0,4,240,0,12,0,0,0,23,0,126,126,0,0,0,0,0,0,0,0
cpp-libreoffice-delete-function,stratified,CPP,97,89,3694,3444,537,470,true,469,0,1,0,1,0,0,938,0,2,0,67,0,0,0,470,470,0,0,0,0,0,0,0,0
cpp-libreoffice-remove-return-value,small,CPP,483,482,15254,15194,3435,3428,true,3423,0,5,7,0,0,0,6846,0,10,7,0,0,0,0,3428,3428,0,0,0,0,0,0,0,0
cpp-libreoffice-remove-two-wrapping-functions,stratified,CPP,1222,1222,41189,41163,10119,10105,true,10095,0,8,12,0,0,0,20196,0,16,12,0,0,0,6,10103,10089,0,14,0,0,2,0,0,2
cpp-libreoffice-warn-to-info,stratified,CPP,3641,3641,137033,137033,31696,31696,true,31684,1,11,0,0,0,0,63368,2,22,0,0,0,0,0,31696,31696,0,0,0,0,0,0,0,0
cpp-llnl-sundials-comment-change,full,CPP,749,752,28035,28238,7425,7425,true,7423,1,1,0,0,0,0,14846,2,2,0,0,0,0,0,7425,7425,0,0,0,0,0,0,0,0
cpp-microsoft-terminal-add-only,stratified,CPP,22,26,585,816,144,184,true,139,0,5,0,0,0,2,278,0,10,0,0,0,40,0,144,144,0,0,0,0,0,0,0,0
cpp-microsoft-terminal-delete-only,stratified,CPP,27,21,958,579,145,90,true,89,0,1,0,1,0,0,178,0,2,0,55,0,0,0,90,90,0,0,0,0,0,0,0,0
cpp-microsoft-terminal-insert-only,stratified,CPP,84,96,3134,3693,562,691,true,559,0,3,0,0,2,1,1118,0,6,0,0,2,127,0,562,562,0,0,0,0,0,0,0,0
cpp-microsoft-terminal-remove-unary-expression-from-binary,stratified,CPP,453,453,17337,17318,3670,3661,true,3656,0,4,1,1,0,0,7315,0,8,1,7,0,0,3,3660,3650,10,0,0,0,1,0,0,0
cpp-mikepopoloski-slang-remove-if-condition-and-brackets,full,CPP,722,719,30533,30391,6842,6818,true,6809,2,7,9,1,0,0,13618,4,14,9,15,0,0,0,6818,6792,13,13,0,0,0,0,0,0
cpp-mozilla-firefox-firefox-delete-leading-comment,stratified,CPP,70,69,2181,2101,476,475,true,474,0,1,1,0,0,0,948,0,2,1,0,0,0,0,475,475,0,0,0,0,0,0,0,0
cpp-mozilla-firefox-firefox-update-file-comment,stratified,CPP,26,25,941,863,123,123,true,121,1,1,0,0,0,0,242,2,2,0,0,0,0,0,123,123,0,0,0,0,0,0,0,0
cpp-mozilla-firefox-firefox-update-file-comment-2,stratified,CPP,15,13,515,393,76,74,true,73,0,1,2,0,0,0,146,0,2,2,0,0,0,0,74,74,0,0,0,0,0,0,0,0
cpp-nextcloud-add-test-case,small,CPP,203,338,7740,14196,1850,3442,true,1846,0,4,0,0,6,1,3692,0,8,0,0,6,1586,0,1850,1850,0,0,0,0,0,0,0,0
cpp-nzbgetcom-nzbget-add-include,stratified,CPP,2,3,81,111,8,11,true,7,0,1,0,0,0,1,14,0,2,0,0,0,3,0,8,8,0,0,0,0,0,0,0,0
cpp-nzbgetcom-nzbget-update-string-const,stratified,CPP,387,387,9059,9063,2908,2908,true,2897,1,10,0,0,0,0,5794,2,20,0,0,0,0,0,2908,2908,0,0,0,0,0,0,0,0
cpp-ollama-add-function-argument,small,CPP,723,725,25996,26042,4402,4414,true,4397,0,5,0,0,12,0,8794,0,10,0,0,12,0,0,4402,4402,0,0,0,0,0,0,0,0
cpp-ollama-ollama-update-commit-hash,stratified,CPP,4,4,169,169,48,48,true,43,1,4,0,0,0,0,86,2,8,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0
cpp-ollama-ollama-update-commit-hash-2,stratified,CPP,4,4,169,169,48,48,true,43,1,4,0,0,0,0,86,2,8,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0
cpp-ollama-ollama-update-commit-hash-3,stratified,CPP,4,4,169,138,48,48,true,43,1,4,0,0,0,0,86,2,8,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0
cpp-ollama-ollama-update-commit-hash-4,stratified,CPP,4,4,169,169,48,48,true,43,1,4,0,0,0,0,86,2,8,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0
cpp-ollama-ollama-update-commit-hash-5,stratified,CPP,4,4,169,169,48,48,true,43,1,4,0,0,0,0,86,2,8,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0
cpp-ollama-ollama-update-commit-hash-6,stratified,CPP,4,4,169,138,48,48,true,43,1,4,0,0,0,0,86,2,8,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0
cpp-ollama-ollama-update-commit-hash-7,stratified,CPP,4,4,169,169,48,48,true,43,1,4,0,0,0,0,86,2,8,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0
cpp-ollama-ollama-update-commit-hash-8,stratified,CPP,4,4,138,169,48,48,true,43,1,4,0,0,0,0,86,2,8,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0
cpp-ollama-ollama-update-commit-hash-string-constant,stratified,CPP,4,4,169,169,48,48,true,43,1,4,0,0,0,0,86,2,8,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0
cpp-opencv-add-test-case,small,CPP,594,639,19810,21604,5407,5990,true,5401,0,6,0,0,2,1,10802,0,12,0,0,2,581,0,5407,5407,0,0,0,0,0,0,0,0
cpp-opencv-opencv-delete-string-const-from-preprocessor,stratified,CPP,26,26,891,887,77,77,true,73,1,3,0,0,0,0,146,2,6,0,0,0,0,0,77,77,0,0,0,0,0,0,0,0
cpp-optimize-algorithm,handmade,CPP,18,12,363,263,169,126,true,95,0,4,70,0,27,0,190,0,8,70,0,27,0,0,99,99,0,0,0,0,0,0,0,0
cpp-paddlepaddle-paddleocr-add-namespace-closing-comment,stratified,CPP,26,26,617,641,253,254,true,252,0,1,0,0,1,0,504,0,2,0,0,1,0,0,253,253,0,0,0,0,0,0,0,0
cpp-protocolbuffers-protobuf-add-preprocessor-commands,stratified,CPP,20,23,570,660,59,73,true,58,0,1,0,0,14,0,116,0,2,0,0,14,0,0,59,13,46,0,0,0,0,0,0,0
cpp-protocolbuffers-protobuf-one-line-insert,stratified,CPP,277,278,9570,9600,2029,2037,true,2018,0,11,0,0,0,1,4036,0,22,0,0,0,8,0,2029,2029,0,0,0,0,0,0,0,0
cpp-pytorch-pytorch-two-inserted-lines,stratified,CPP,2300,2302,77631,77708,18834,18861,true,18827,0,7,0,0,0,2,37654,0,14,0,0,0,27,0,18834,18834,0,0,0,0,0,0,0,0
cpp-qpdf-qpdf-move-to-assert-from-if-and-throw,full,CPP,182,184,7289,7258,1292,1277,true,1252,2,7,10,1,5,2,2513,4,14,10,15,5,8,9,1261,1228,0,31,2,0,3,0,0,14
cpp-tensorflow-switch-to-primitive-types,small,CPP,274,275,9311,9379,2294,2309,true,2236,0,58,0,0,15,0,4472,0,116,0,0,15,0,0,2294,2289,5,0,0,0,0,0,0,6
cpp-tensorflow-tensorflow-new-to-make-unique,stratified,CPP,31,31,1129,1146,111,120,true,100,0,5,6,0,15,0,200,0,10,6,0,15,0,0,105,105,0,0,0,0,0,0,0,6
cpp-whitespace-only-change,small,CPP,82,82,2602,2603,928,928,true,928,0,0,0,0,0,0,1856,0,0,0,0,0,0,0,928,928,0,0,0,0,0,0,0,0
csharp-cyanfish-naps2-add-condition-to-if,full,CSharp,640,641,25640,25703,5608,5627,true,5600,0,8,0,0,1,2,11200,0,16,0,0,1,18,0,5608,5549,59,0,0,0,0,0,0,3
csharp-dotnet-script-dotnet-script-remove-two-arguments,full,CSharp,553,553,21000,20946,4979,4967,true,4948,0,19,2,2,0,0,9896,0,38,2,10,0,0,0,4967,4967,0,0,0,0,0,0,0,0
csharp-glibsharp-gtksharp-formatting-only-change,full,CSharp,101,99,3501,3467,860,860,true,860,0,0,0,0,0,0,1720,0,0,0,0,0,0,0,860,860,0,0,0,0,0,0,0,0
csharp-glibsharp-gtksharp-interesting-case-where-most-should-be-flagged-as-insert-delete-with-a-single-update,full,CSharp,160,143,4943,4659,1284,1184,true,1156,0,5,30,3,23,0,2312,0,10,30,93,23,0,0,1161,1160,1,0,0,0,0,0,0,1
csharp-glibsharp-gtksharp-whitespace-only-change,full,CSharp,52,51,1491,1485,240,240,true,240,0,0,0,0,0,0,480,0,0,0,0,0,0,0,240,240,0,0,0,0,0,0,0,0
csharp-glibsharp-gtksharp-whitespace-only-change-2,full,CSharp,63,62,1770,1761,282,282,true,282,0,0,0,0,0,0,564,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,0,0
csharp-glibsharp-gtksharp-whitespace-only-change-3,full,CSharp,100,89,2443,2400,513,513,true,513,0,0,0,0,0,0,1026,0,0,0,0,0,0,0,513,513,0,0,0,0,0,0,0,0
csharp-icsharpcode-avaloniailspy-a-few-formatting-changes-and-use-a-struct-instead-of-tuples,full,CSharp,720,722,35682,35637,7093,7066,true,7043,1,18,31,0,4,0,14086,2,36,31,0,4,0,0,7062,7051,10,0,1,0,0,0,0,4
csharp-jellyfin-add-function,small,CSharp,316,335,11291,12079,2280,2367,true,2217,3,19,23,0,106,0,4474,6,38,23,0,106,0,40,2239,2234,0,1,4,0,11,0,11,55
csharp-jellyfin-jellyfin-add-const-string,stratified,CSharp,7782,7782,342583,342599,65862,65868,true,65847,0,12,0,0,1,1,131701,0,24,0,0,1,4,7,65859,65820,39,0,0,0,1,0,0,0
csharp-jellyfin-jellyfin-add-line,stratified,CSharp,3355,3357,120941,120977,24034,24044,true,24027,0,7,0,0,0,1,48054,0,14,0,0,0,10,0,24034,24034,0,0,0,0,0,0,0,0
csharp-jellyfin-jellyfin-update-version-string,stratified,CSharp,4,4,108,108,38,38,true,25,2,11,0,0,0,0,50,4,22,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0
csharp-jellyfin-sql-query-fix,small,CSharp,73,74,2614,2829,609,640,true,583,2,15,8,0,13,2,1170,4,30,8,0,13,24,4,600,578,0,0,22,0,1,0,0,0
csharp-lidarr-add-function,small,CSharp,314,326,13525,13916,2480,2609,true,2461,1,14,4,0,0,4,4922,2,28,4,0,0,133,0,2476,2476,0,0,0,0,0,0,0,0
csharp-lidarr-call-different-function,small,CSharp,552,552,20091,20125,4028,4028,true,3995,2,18,2,2,0,1,7993,4,36,2,10,0,11,3,4015,4015,0,0,0,0,1,0,0,0
csharp-lidarr-condition-change,small,CSharp,79,79,3525,3503,678,669,true,659,0,9,4,1,0,0,1321,0,18,4,4,0,0,3,668,664,0,4,0,0,1,0,0,0
csharp-lidarr-lidarr-add-enum-value,stratified,CSharp,8,9,121,143,30,37,true,25,0,5,0,0,1,1,50,0,10,0,0,1,6,0,30,30,0,0,0,0,0,0,0,0
csharp-lidarr-lidarr-add-function,stratified,CSharp,14,15,447,493,155,169,true,152,0,3,0,0,0,1,304,0,6,0,0,0,14,0,155,155,0,0,0,0,0,0,0,0
csharp-lidarr-lidarr-add-function-call-to-return,stratified,CSharp,259,259,10376,10414,2103,2122,true,2095,0,8,0,0,4,1,4190,0,16,0,0,4,15,0,2103,2102,0,1,0,0,0,0,0,0
csharp-lidarr-lidarr-add-function-signature-to-class,stratified,CSharp,8,9,217,267,55,69,true,50,0,5,0,0,0,1,100,0,10,0,0,0,14,0,55,55,0,0,0,0,0,0,0,0
csharp-lidarr-lidarr-add-import-and-func,stratified,CSharp,25,27,822,911,255,282,true,250,0,5,0,0,0,2,500,0,10,0,0,0,27,0,255,255,0,0,0,0,0,0,0,0
csharp-lidarr-lidarr-add-method-to-class,stratified,CSharp,7,8,168,195,49,58,true,44,0,5,0,0,0,1,88,0,10,0,0,0,9,0,49,49,0,0,0,0,0,0,0,0
csharp-lidarr-new-feature,small,CSharp,42,78,1614,2834,358,672,true,341,0,17,0,0,9,17,682,0,34,0,0,9,305,0,358,342,0,0,16,0,0,0,0,0
csharp-radarr-add-object-instance,small,CSharp,116,117,8519,8647,2302,2337,true,2292,0,10,0,0,1,1,4584,0,20,0,0,1,34,0,2302,2302,0,0,0,0,0,0,0,0
csharp-radarr-radarr-add-base-class,stratified,CSharp,27,27,650,685,178,186,true,174,0,4,0,0,0,1,348,0,8,0,0,0,8,0,178,178,0,0,0,0,0,0,0,0
csharp-radarr-radarr-add-func,stratified,CSharp,11,13,271,325,63,77,true,58,0,5,0,0,0,1,116,0,10,0,0,0,14,0,63,63,0,0,0,0,0,0,0,0
csharp-radarr-radarr-add-one-using,stratified,CSharp,509,510,20152,20186,6977,6987,true,6976,0,1,0,0,0,1,13952,0,2,0,0,0,10,0,6977,6977,0,0,0,0,0,0,0,0
csharp-radarr-radarr-add-one-using-2,stratified,CSharp,36,37,1012,1046,207,217,true,206,0,1,0,0,0,1,412,0,2,0,0,0,10,0,207,207,0,0,0,0,0,0,0,0
csharp-radarr-radarr-add-property,stratified,CSharp,28,30,836,868,172,181,true,167,0,5,0,0,0,1,334,0,10,0,0,0,9,0,172,172,0,0,0,0,0,0,0,0
