language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations,exit_status
CPP,,darkbitsorg-guichan,c13a939ed4d205f2686f8a555cd42fbeaa893665,src/contrib/opengl/oglftfont.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,c13a939ed4d205f2686f8a555cd42fbeaa893665,src/genericinput.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,c13a939ed4d205f2686f8a555cd42fbeaa893665,src/hge/hgeimageloader.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,c13a939ed4d205f2686f8a555cd42fbeaa893665,src/mouseevent.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,c13a939ed4d205f2686f8a555cd42fbeaa893665,src/openlayer/openlayerimage.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,c13a939ed4d205f2686f8a555cd42fbeaa893665,src/sdl/sdlinput.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,c13a939ed4d205f2686f8a555cd42fbeaa893665,src/widgets/imagebutton.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,c13a939ed4d205f2686f8a555cd42fbeaa893665,src/widgets/textbox.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,cb9a7ffb898f05f2ca6eebd2504f566b279527b5,include/guichan/contrib/allegro/allegroglyphkeeperfont.hpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,cb9a7ffb898f05f2ca6eebd2504f566b279527b5,src/contrib/allegro/allegroglyphkeeperfont.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,darkbitsorg-guichan,7540daa54a7f04f0b0516289c9ac27bc3784a274,src/widgets/listbox.cpp,0,0,0,0,failed_to_read,,,,,
C,,dino-libomemo-c,3c7aa49c7d198d472da3b32795cca997421d57b4,tests/test_session_builder.c,0,0,0,0,failed_to_read,,,,,
ShellScript,,doy-rbw,e71ae3041f0933667aa8668cf5b4bc135b016e5d,src/bin/rbw/completion/rbw.zsh,0,0,0,0,failed_to_read,,,,,
Scala,,flowdalic-sendxmpp,40905c695bdda9ee44ca271123f398ef5b085438,sendxmpp.sc,0,0,0,0,failed_to_read,,,,,
Scala,,flowdalic-sendxmpp,c1b777a0f58216389650e6705d69a95530068b60,sendxmpp.sc,0,0,0,0,failed_to_read,,,,,
C,,freaklabs-chibiArduino,3fcd40d2f7ad1566ca13448614e5d74682132e9a,chibiUsrCfg.h,0,0,0,0,failed_to_read,,,,,
C,,freaklabs-chibiArduino,f17b25854d61647243d0f3bf35c4c46b1d08aba0,chibiUsrCfg.h,0,0,0,0,failed_to_read,,,,,
C,,freaklabs-chibiArduino,60393d993294872459481df100c34c144320c505,chibiUsrCfg.h,0,0,0,0,failed_to_read,,,,,
C,,freaklabs-chibiArduino,7c883f02473776bdc5a5ef163291ff28e46a92ee,chibiUsrCfg.h,0,0,0,0,failed_to_read,,,,,
Vimscript,,fs111-pydoc.vim,946aff74eb154de99394d11249269c6830e64570,ftplugin/python_pydoc.vim,0,0,0,0,failed_to_read,,,,,
Vimscript,,fs111-pydoc.vim,bbf3ceddb726a045dcde9f18f0b3634018c2224d,ftplugin/python_pydoc.vim,0,0,0,0,failed_to_read,,,,,
Vimscript,,fs111-pydoc.vim,84a44c4ab2e7e2b25de83b675c4475940a3361d2,pydoc.vim,0,0,0,0,failed_to_read,,,,,
Go,,genuinetools-img,89fb42e58c5ffc73774f0e9a97824810c15ea775,vendor/golang.org/x/text/unicode/norm/tables9.0.0.go,345900,381417,161274,167801,timed_out,,,,,
C,,hsoft-avra,10a8bf1eaacab82ad9d7d3be12c34ff52f0584db,src/expr.c,0,0,0,0,failed_to_read,,,,,
C,,ianw-libiptcdata,c1a145bb75ff40610d128faedf9ac1752ede6510,libiptcdata/iptc-log.c,0,0,0,0,failed_to_read,,,,,
C,,ianw-libiptcdata,59d72791ca3fbd09511e52267198c98cd67385f9,libiptcdata/iptc-dataset.c,0,0,0,0,failed_to_read,,,,,
C,,ianw-libiptcdata,9cda57e9fe7f067687522f6a5270720286f36710,python/pyiptcdatamod.c,0,0,0,0,failed_to_read,,,,,
C,,ianw-libiptcdata,135ec0e709c8adb7fb6a2156981665c7e22a458c,libiptcdata/iptc-data.h,0,0,0,0,failed_to_read,,,,,
Kotlin,,ingokegel-jclasslib,8ad1bb79b75a29a8b099e131abc8bc0f8e5114d9,modules/data/data.gradle.kts,0,0,0,0,failed_to_read,,,,,
CPP,,intel-cmrt,49150ffaff2e5188bd87a11b1da76d3506dc3371,src/cm_device.cpp,0,0,0,0,failed_to_read,,,,,
C,,intel-cmrt,17c443a4777f29bc08d4a62393070b56feccc705,src/cm_device.h,0,0,0,0,failed_to_read,,,,,
C,,intel-cmrt,d553fe9d1a26ed361a13bb048e8cca18d51e3f61,src/hw_interface_g8.h,0,0,0,0,failed_to_read,,,,,
CPP,,intel-cmrt,6e3309a485a66c996bdc1975ff9791a228caf6d7,src/cm_kernel.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,intel-cmrt,cbf141b9f95c5c1f2d154f2adb78ee61d5c49984,src/cm_device.cpp,0,0,0,0,failed_to_read,,,,,
C,,intel-cmrt,65066024232636e0cf7f0284cd4ebac963878bcc,src/hw_interface_g9.c,0,0,0,0,failed_to_read,,,,,
C,,intel-cmrt,f9fdd5109ecc5c0c08a406a449dc9a1ed98fc9b1,src/hw_interface.c,0,0,0,0,failed_to_read,,,,,
C,,intel-cmrt,5ab9280e67da506ba179788fcdb20bb1efc9579c,src/cm_surface_manager.h,0,0,0,0,failed_to_read,,,,,
C,,intel-cmrt,8d3711b542feacd8a11c7c33aaef2c9292dcb3f2,src/cm_queue.h,0,0,0,0,failed_to_read,,,,,
CPP,,intel-cmrt,8d3711b542feacd8a11c7c33aaef2c9292dcb3f2,src/cm_task.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,intel-intel-hybrid-driver,cef3c7ca8a1dfaa4f8280c584d0d633f72adf13b,src/cmrt/cm_device.cpp,0,0,0,0,failed_to_read,,,,,
Python,,ispell-lt-ispell-lt,d28a4c58519602c82bb059f93d12030e155f3b62,tools/sutrauka.py,0,0,0,0,failed_to_read,,,,,
