language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations
Rust,10-30,GyulyVGC-sniffnet.git,f118c08bbbca6a674e1db086a1768aaab44599ed,src/networking/types/mod.rs,508,523,139,145,ok,0.380409,56012,227904,145
Rust,10-30,protocolbuffers-protobuf.git,fd819467f0c4d7781c070748e3412670e7dc7fae,rust/release_crates/protobuf/build.rs,686,646,133,140,ok,11.860247000000001,749952,5393242,144
Rust,10-30,rust-lang-rust.git,05834b2d6b8c584314dcc7d91d638bd376ce267c,src/tools/miri/tests/fail/branchless-select-i128-pointer.rs,792,764,199,199,ok,1.284707,55808,198844,199
Rust,10-30,rust-lang-rust.git,0e4a7595012bc71ccbb28a117e2fcf35e833cedb,tests/ui/linkage-attr/raw-dylib/windows/link-ordinal-multiple.rs,323,323,102,102,ok,4.054411,256908,1512728,106
Rust,10-30,rust-lang-rust.git,1fa1611e9fa6315254c9202ab2874e67b65f68b1,tests/ui/impl-trait/unsized_coercion.rs,382,408,100,102,ok,0.5057240000000001,28224,114331,104
Rust,10-30,rust-lang-rust.git,2662303112bcfa768f525c9bcf8f3bb5d62acdd3,compiler/rustc_target/src/spec/targets/mips_unknown_linux_musl.rs,803,887,258,273,ok,5.562924000000001,587908,7562841,273
Rust,10-30,rust-lang-rust.git,2662303112bcfa768f525c9bcf8f3bb5d62acdd3,compiler/rustc_target/src/spec/targets/mipsel_unknown_linux_musl.rs,776,804,243,258,ok,3.260469,514340,5976479,258
Rust,10-30,rust-lang-rust.git,2662303112bcfa768f525c9bcf8f3bb5d62acdd3,compiler/rustc_target/src/spec/targets/mipsel_unknown_linux_uclibc.rs,777,817,224,239,ok,11.000071,1051956,25967479,239
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/base/windows_uwp_msvc.rs,322,332,123,123,ok,0.31257700000000005,55808,170264,123
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/targets/arm_unknown_linux_musleabihf.rs,1098,1108,247,247,ok,0.435467,111488,338696,247
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/targets/armeb_unknown_linux_gnueabi.rs,1012,1022,266,266,ok,0.450095,111488,343890,266
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/targets/armv5te_unknown_linux_uclibceabi.rs,960,970,243,243,ok,0.424744,111488,335752,243
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/targets/armv6_none_eabi.rs,1068,1078,265,265,ok,0.49261,111488,343936,265
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/targets/armv6_unknown_freebsd.rs,901,911,255,255,ok,0.456971,111488,337928,255
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/targets/armv7a_none_eabi.rs,898,908,227,227,ok,0.43550700000000003,111488,332960,227
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/targets/mipsisa64r6el_unknown_linux_gnuabi64.rs,913,923,251,251,ok,0.476154,111488,337080,251
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/targets/powerpc64le_unknown_freebsd.rs,929,943,315,315,ok,0.56543,111488,353000,315
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/targets/thumbv7a_none_eabihf.rs,923,933,227,227,ok,0.417118,111488,332960,227
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/targets/thumbv7m_none_eabi.rs,766,776,206,206,ok,0.372178,56320,205616,206
Rust,10-30,rust-lang-rust.git,40ebcc031da647d6a76deaf05c471b7a1d4aa228,compiler/rustc_target/src/spec/targets/thumbv7m_nuttx_eabi.rs,807,817,211,211,ok,0.37049499999999996,57424,204432,211
Rust,10-30,rust-lang-rust.git,5113488163ac3fdbb2adb665308b0bd3f524c44f,tests/ui/const-generics/mgca/infer-vars-in-const-args-conflicting.rs,485,673,141,161,ok,0.343019,55808,183252,161
Rust,10-30,rust-lang-rust.git,5c441e6ce6453863e082ae26508958ffc1966e40,tests/ui/delegation/generics/free-fn-to-free-fn.rs,500,519,173,173,ok,0.412907,58544,210382,175
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/const-ptr/out_of_bounds_read.rs,493,541,140,142,ok,0.322858,56218,183246,142
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/consts/const-eval/heap/dealloc_intrinsic_dangling.rs,882,930,160,162,ok,0.339,55808,186110,162
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/consts/const-eval/heap/dealloc_intrinsic_incorrect_layout.rs,749,797,227,229,ok,0.441541,110976,323798,229
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/consts/const-eval/heap/make-global-twice.rs,444,492,120,122,ok,0.246363,55808,171106,122
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/consts/const-eval/heap/ptr_made_global_mutated.rs,409,457,122,124,ok,0.258035,55808,172322,124
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/consts/missing_span_in_backtrace.rs,580,628,133,135,ok,0.273264,55808,183846,135
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/consts/offset_ub.rs,1682,1730,537,539,ok,1.080705,221824,673642,539
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/consts/recursive-zst-static.rs,759,800,59,61,ok,0.13239,27968,97500,61
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/consts/required-consts/interpret-in-const-called-fn.rs,724,781,146,148,ok,0.321174,55808,185930,148
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/infinite/infinite-trait-alias-recursion.rs,164,204,46,48,ok,0.116328,14912,57016,48
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/infinite/infinite-type-alias-mutual-recursion.rs,417,457,66,68,ok,0.152884,28224,93036,68
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/inline-const/required-const.rs,166,223,63,65,ok,0.133463,28224,94998,65
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/lint/large_assignments/move_into_fn.rs,661,718,123,125,ok,0.25851,55808,170340,125
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/structs/default-field-values/post-mono.rs,366,423,148,150,ok,0.303295,55808,184446,150
Rust,10-30,rust-lang-rust.git,6a0ce1665407d1a194fb389408e45854c47c9c7b,tests/ui/wf/ice-hir-wf-check-anon-const-issue-122989.rs,537,577,71,73,ok,0.149011,27968,98222,73
Rust,10-30,rust-lang-rust.git,6b1487698cda66825960f84b48c1d6a0ccaed253,compiler/rustc_target/src/spec/targets/mips64el_unknown_linux_muslabi64.rs,937,946,270,265,ok,4.421919,649364,10374959,275
Rust,10-30,rust-lang-rust.git,6b1487698cda66825960f84b48c1d6a0ccaed253,compiler/rustc_target/src/spec/targets/mips_unknown_linux_gnu.rs,881,890,254,249,ok,13.842327999999998,1219644,38048621,259
Rust,10-30,rust-lang-rust.git,6b1487698cda66825960f84b48c1d6a0ccaed253,compiler/rustc_target/src/spec/targets/mipsel_unknown_linux_musl.rs,804,813,258,253,ok,3.687408,550796,6624939,263
Rust,10-30,rust-lang-rust.git,6b1487698cda66825960f84b48c1d6a0ccaed253,compiler/rustc_target/src/spec/targets/mipsel_unknown_linux_uclibc.rs,817,826,239,234,ok,12.292724999999999,1115036,29839787,244
Rust,10-30,rust-lang-rust.git,6df99d652364f3ab702eb73f700cca40fe99bf15,tests/ui/asm/aarch64/parse-error.rs,670,860,154,192,ok,0.570079,55808,195185,204
Rust,10-30,rust-lang-rust.git,6df99d652364f3ab702eb73f700cca40fe99bf15,tests/ui/asm/x86_64/issue-82869.rs,578,694,173,195,ok,0.427043,55808,220002,205
Rust,10-30,rust-lang-rust.git,724c1a02e11e3b7d3f18a99bea11d450ebd82c2f,tests/rustdoc-ui/track-diagnostics.rs,326,378,33,35,ok,0.09095700000000001,15160,53998,35
Rust,10-30,rust-lang-rust.git,7a698be60580b1e9d68620e4ca3a8517eed654f5,library/compiler-builtins/libm/src/math/generic/fmax.rs,773,1155,159,179,ok,0.412343,55808,216602,189
Rust,10-30,rust-lang-rust.git,7a698be60580b1e9d68620e4ca3a8517eed654f5,library/compiler-builtins/libm/src/math/generic/fmaximum.rs,626,701,183,188,ok,0.372825,55808,197435,193
Rust,10-30,rust-lang-rust.git,7a698be60580b1e9d68620e4ca3a8517eed654f5,library/compiler-builtins/libm/src/math/generic/fminimum.rs,626,701,183,188,ok,0.36867099999999997,55808,197435,193
Rust,10-30,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/const-generics/generic_const_exprs/cannot-convert-refree-ice-114463.rs,360,246,80,78,ok,0.194562,28224,100374,80
Rust,10-30,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/const-generics/generic_const_exprs/const-block-is-poly.rs,248,190,88,86,ok,0.204982,28224,103290,88
Rust,10-30,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/const-generics/generic_const_exprs/issue-97047-ice-1.rs,699,423,191,187,ok,0.395003,55808,193828,191
Rust,10-30,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/const-generics/generic_const_exprs/issue-97047-ice-2.rs,707,431,191,187,ok,0.39765100000000003,55808,194356,191
Rust,10-30,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/const-generics/generic_const_parameter_types/check-type-in-mir.rs,411,284,73,69,ok,0.18258400000000002,27968,92338,73
Rust,10-30,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/const-generics/generic_const_parameter_types/references-parent-generics.rs,698,624,90,88,ok,0.185616,28224,104046,90
Rust,10-30,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/const-generics/mgca/struct-ctor-in-array-len.rs,503,442,52,50,ok,0.121338,14936,63974,52
Rust,10-30,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/const-generics/occurs-check/unify-fixpoint.rs,485,427,109,107,ok,0.219037,27968,106882,109
Rust,10-30,rust-lang-rust.git,7df43d309c2722afdcf336a901f86eae18a19072,tests/ui/traits/const-traits/mismatched_generic_args.rs,856,797,156,154,ok,0.327685,55808,190178,156
