language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations
CPP,,stratified,,cpp-ollama-ollama-update-commit-hash-4,169,169,48,48,ok,0.102284,14176,54276,48
CPP,,stratified,,cpp-ollama-ollama-update-commit-hash-5,169,169,48,48,ok,0.075797,14176,54276,48
CPP,,stratified,,cpp-ollama-ollama-update-commit-hash-6,169,138,48,48,ok,0.07551999999999999,14176,54276,48
CPP,,stratified,,cpp-ollama-ollama-update-commit-hash-7,169,169,48,48,ok,0.075086,14176,54276,48
CPP,,stratified,,cpp-ollama-ollama-update-commit-hash-8,138,169,48,48,ok,0.075487,14176,54276,48
CPP,,stratified,,cpp-ollama-ollama-update-commit-hash-string-constant,169,169,48,48,ok,0.093154,14176,54276,48
CPP,,small,,cpp-opencv-add-test-case,19810,21604,5407,5990,ok,307.641071,12022076,48752493,5990
CPP,,stratified,,cpp-opencv-opencv-delete-string-const-from-preprocessor,891,887,77,77,ok,0.11609900000000001,28224,110950,77
CPP,,stratified,,cpp-paddlepaddle-paddleocr-add-namespace-closing-comment,617,641,253,254,ok,0.47308700000000004,110976,355967,254
CPP,,stratified,,cpp-protocolbuffers-protobuf-add-preprocessor-commands,570,660,59,73,ok,0.148427,28224,102225,73
CPP,,stratified,,cpp-protocolbuffers-protobuf-one-line-insert,9570,9600,2029,2037,ok,4.926833,884864,2982729,2037
CPP,,stratified,,cpp-pytorch-pytorch-two-inserted-lines,77631,77708,18834,18861,ok,72.113298,7593268,28377421,18861
CPP,,full,,cpp-qpdf-qpdf-move-to-assert-from-if-and-throw,7289,7258,1292,1277,ok,5.527375999999999,704376,2432512,1319
CPP,,small,,cpp-tensorflow-switch-to-primitive-types,9311,9379,2294,2309,ok,19.285256,1680812,6737818,2315
CPP,,stratified,,cpp-tensorflow-tensorflow-new-to-make-unique,1129,1146,111,120,ok,0.9957779999999999,166630,468397,123
CPP,,small,,cpp-whitespace-only-change,2602,2603,928,928,ok,1.578409,442496,1323228,928
CSharp,,full,,csharp-cyanfish-naps2-add-condition-to-if,25640,25703,5608,5627,ok,12.536764,1767552,6520272,5627
CSharp,,full,,csharp-dotnet-script-dotnet-script-remove-two-arguments,21000,20946,4979,4967,ok,13.818296,1767552,7419654,4979
CSharp,,full,,csharp-glibsharp-gtksharp-formatting-only-change,3501,3467,860,860,ok,1.680734,221824,832114,860
CSharp,,full,,csharp-glibsharp-gtksharp-interesting-case-where-most-should-be-flagged-as-insert-delete-with-a-single-update,4943,4659,1284,1184,ok,3.850916,647182,2301913,1308
CSharp,,full,,csharp-glibsharp-gtksharp-whitespace-only-change,1491,1485,240,240,ok,0.46222199999999997,110976,362312,240
CSharp,,full,,csharp-glibsharp-gtksharp-whitespace-only-change-2,1770,1761,282,282,ok,0.55732,110976,397880,282
CSharp,,full,,csharp-glibsharp-gtksharp-whitespace-only-change-3,2443,2400,513,513,ok,1.044841,221824,743612,513
CSharp,,full,,csharp-icsharpcode-avaloniailspy-a-few-formatting-changes-and-use-a-struct-instead-of-tuples,35682,35637,7093,7066,ok,24.619381,2379792,9377026,7101
CSharp,,small,,csharp-jellyfin-add-function,11291,12079,2280,2367,ok,11.500415,1142661,4837271,2409
CSharp,,stratified,,csharp-jellyfin-jellyfin-add-const-string,342583,342599,65862,65868,ok,362.03049300000004,31492062,121300824,65868
CSharp,,stratified,,csharp-jellyfin-jellyfin-add-line,120941,120977,24034,24044,ok,82.806684,7069824,26955128,24044
CSharp,,stratified,,csharp-jellyfin-jellyfin-update-version-string,108,108,38,38,ok,0.08317699999999999,14176,51370,38
CSharp,,small,,csharp-jellyfin-sql-query-fix,2614,2829,609,640,ok,10.17197,1180412,3880462,648
CSharp,,small,,csharp-lidarr-add-function,13525,13916,2480,2609,ok,8.19631,934957,4113439,2613
CSharp,,small,,csharp-lidarr-call-different-function,20091,20125,4028,4028,ok,14.635309000000001,2053414,7366200,4040
CSharp,,small,,csharp-lidarr-condition-change,3525,3503,678,669,ok,4.231040999999999,522876,1749030,678
CSharp,,stratified,,csharp-lidarr-lidarr-add-enum-value,121,143,30,37,ok,0.441176,72452,214278,37
CSharp,,stratified,,csharp-lidarr-lidarr-add-function,447,493,155,169,ok,0.373589,62194,219336,169
CSharp,,stratified,,csharp-lidarr-lidarr-add-function-call-to-return,10376,10414,2103,2122,ok,6.691616,998928,3710056,2122
CSharp,,stratified,,csharp-lidarr-lidarr-add-function-signature-to-class,217,267,55,69,ok,1.424154,200282,543560,69
CSharp,,stratified,,csharp-lidarr-lidarr-add-import-and-func,822,911,255,282,ok,15.976263000000001,1904390,6960300,282
CSharp,,stratified,,csharp-lidarr-lidarr-add-method-to-class,168,195,49,58,ok,0.620862,98176,302960,58
CSharp,,small,,csharp-lidarr-new-feature,1614,2834,358,672,ok,7.788618,790975,3552726,672
CSharp,,small,,csharp-radarr-add-object-instance,8519,8647,2302,2337,ok,4.898728,886912,2789526,2337
CSharp,,stratified,,csharp-radarr-radarr-add-base-class,650,685,178,186,ok,0.45677,58934,278554,186
CSharp,,stratified,,csharp-radarr-radarr-add-func,271,325,63,77,ok,1.1904979999999998,176278,513598,77
