name,repository,category
apps-gorm,https://github.com/gnustep/apps-gorm,Uncategorized (Gentoo Package List)
apps-projectcenter,https://github.com/gnustep/apps-projectcenter,Uncategorized (Gentoo Package List)
apps-systempreferences,https://github.com/gnustep/apps-systempreferences,Uncategorized (Gentoo Package List)
appswipe,https://github.com/k9spud/appswipe,Uncategorized (Gentoo Package List)
apptainer,https://github.com/apptainer/apptainer,Uncategorized (Gentoo Package List)
apricots,https://github.com/moggers87/apricots,Uncategorized (Gentoo Package List)
apsw,https://github.com/rogerbinns/apsw,Uncategorized (Gentoo Package List)
apulse,https://github.com/i-rinat/apulse,Uncategorized (Gentoo Package List)
apvlv,https://github.com/naihe2010/apvlv,Uncategorized (Gentoo Package List)
aqualung,https://github.com/jeremyevans/aqualung,Uncategorized (Gentoo Package List)
Aquamarine,https://github.com/hyprwm/Aquamarine,Uncategorized (Gentoo Package List)
aranym,https://github.com/aranym/aranym,Uncategorized (Gentoo Package List)
aravis,https://github.com/AravisProject/aravis,Uncategorized (Gentoo Package List)
arb,https://github.com/fredrik-johansson/arb,Uncategorized (Gentoo Package List)
ArborX,https://github.com/arborx/ArborX,Uncategorized (Gentoo Package List)
arch-install-scripts,https://github.com/archlinux/arch-install-scripts,Uncategorized (Gentoo Package List)
arc,https://github.com/ani6al/arc,Uncategorized (Gentoo Package List)
arc-icon-theme,https://github.com/horst3180/arc-icon-theme,Uncategorized (Gentoo Package List)
arc-kde,https://github.com/PapirusDevelopmentTeam/arc-kde,Uncategorized (Gentoo Package List)
arc-theme,https://github.com/jnsh/arc-theme,Uncategorized (Gentoo Package List)
arduino-builder,https://github.com/arduino/arduino-builder,Uncategorized (Gentoo Package List)
arduino-cli,https://github.com/arduino/arduino-cli,Uncategorized (Gentoo Package List)
Arduino,https://github.com/arduino/Arduino,Uncategorized (Gentoo Package List)
arel-helpers,https://github.com/camertron/arel-helpers,Uncategorized (Gentoo Package List)
argparse,https://github.com/luarocks/argparse,Uncategorized (Gentoo Package List)
argparse,https://github.com/p-ranav/argparse,Uncategorized (Gentoo Package List)
argparse-manpage,https://github.com/praiskup/argparse-manpage,Uncategorized (Gentoo Package List)
argtable3,https://github.com/argtable/argtable3,Uncategorized (Gentoo Package List)
aria2,https://github.com/aria2/aria2,Uncategorized (Gentoo Package List)
aribb24,https://github.com/nkoriyama/aribb24,Uncategorized (Gentoo Package List)
arina-rus,https://github.com/RHVoice/arina-rus,Uncategorized (Gentoo Package List)
arpack-ng,https://github.com/opencollab/arpack-ng,Uncategorized (Gentoo Package List)
arping,https://github.com/ThomasHabets/arping,Uncategorized (Gentoo Package List)
arp-scan,https://github.com/royhills/arp-scan,Uncategorized (Gentoo Package List)
arpsponge,https://github.com/AMS-IX/arpsponge,Uncategorized (Gentoo Package List)
arttime,https://github.com/poetaman/arttime,Uncategorized (Gentoo Package List)
aruba,https://github.com/cucumber/aruba,Uncategorized (Gentoo Package List)
