language,size_bucket,repository,commit,path,loc_before,loc_after,loc_combined,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms
Swift,300-1000,apple-swift-argument-parser,6924db870dae99d2abf8b78a81eed46da1638b09,Sources/ArgumentParser/Completions/FishCompletionsGenerator.swift,324,323,647,9429,9362,2194,2206,timed_out,
Swift,300-1000,apple-swift-argument-parser,6924db870dae99d2abf8b78a81eed46da1638b09,Sources/ArgumentParser/Parsing/ArgumentDefinition.swift,452,453,905,13088,13094,3423,3423,ok,0.49072600000000005
Swift,300-1000,apple-swift-argument-parser,84babd683b234be8f0dabc61bdf9e2128b589b72,Sources/ArgumentParser/Parsable Properties/Option.swift,891,913,1804,31488,32454,4592,4744,ok,399.26982
Swift,300-1000,apple-swift-argument-parser,84babd683b234be8f0dabc61bdf9e2128b589b72,Sources/ArgumentParser/Parsing/ArgumentDefinition.swift,453,458,911,13094,13272,3423,3472,timed_out,
Swift,300-1000,apple-swift-corelibs-libdispatch,207ed9efaa7ef5e75d5f71d7de46e66867e73a6c,src/swift/Source.swift,699,699,1398,35093,35173,5800,5830,timed_out,
Swift,300-1000,apple-swift-corelibs-libdispatch,4faf129da445322595490fa5867b79bec8f62f97,src/swift/Source.swift,709,708,1417,35354,35323,5882,5892,timed_out,
Swift,300-1000,apple-swift-corelibs-libdispatch,85ce1cb80c50d7ae85fda8ef8261e4326dc29203,src/swift/Source.swift,708,711,1419,35403,35432,5922,5926,timed_out,
Swift,300-1000,apple-swift-corelibs-libdispatch,85ce1cb80c50d7ae85fda8ef8261e4326dc29203,src/swift/Wrapper.swift,343,343,686,9261,9229,2561,2549,ok,0.73655
Swift,300-1000,apple-swift-corelibs-libdispatch,870dc0de2af24c2434bcb1497e73213864491983,src/swift/Queue.swift,498,498,996,17699,17715,4182,4187,timed_out,
Swift,300-1000,apple-swift-corelibs-libdispatch,870dc0de2af24c2434bcb1497e73213864491983,src/swift/Source.swift,699,699,1398,35077,35093,5795,5800,timed_out,
